UFNUMB,CommonName,Family,Genus,Species,Subspecies,Preparations,Country,State,County,Latitude1,Longitude1,image
35032,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35033,,PYCNONOTIDAE,PHYLLASTREPHUS,DEBILIS,RABAI,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35034,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35035,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35036,,PYCNONOTIDAE,ANDROPADUS,CURVIROSTRIS,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35037,,PYCNONOTIDAE,ANDROPADUS,CURVIROSTRIS,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
35038,,PYCNONOTIDAE,ANDROPADUS,VIRENS,,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
35039,,PYCNONOTIDAE,ANDROPADUS,MASUKUENSIS,KAKAMEGAE,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
35040,,PYCNONOTIDAE,ANDROPADUS,LATIROSTRIS,LATIROSTRIS,STUDY - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
35042,,PYCNONOTIDAE,ANDROPADUS,MILANJENSIS,STRIIFACIES,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
35269,,PYCNONOTIDAE,ANDROPADUS,MILANJENSIS,,C SKEL - 1,CAPTIVE BIRD,,,,,
35301,,PYCNONOTIDAE,ANDROPADUS,MILANJENSIS,STRIIFACIES,C SKEL - 1,TANZANIA,TANGA PROVINCE,,,,
35462,,PYCNONOTIDAE,PYCNONOTUS,CAPENSIS,,C SKEL - 1,SOUTH AFRICA,CAPE PROVINCE,,,,
35545,,PYCNONOTIDAE,ANDROPADUS,IMPORTUNUS,INSULARIS,C SKEL - 1,TANZANIA,TANGA PROVINCE,,,,
36787,,PYCNONOTIDAE,IXOS,PHILIPPINUS,GUIMARASENSIS,STUDY - 1,PHILIPPINES,NEGROS ORIENTAL PROVINCE,,,,
37780,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
37781,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
37782,,PYCNONOTIDAE,ANDROPADUS,CURVIROSTRIS,,STUDY - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
37855,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,STUDY - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
38191,,PYCNONOTIDAE,PYCNONOTUS,BARBATUS,TRICOLOR,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
38471,,PYCNONOTIDAE,ANDROPADUS,LATIROSTRIS,LATIROSTRIS,C SKEL - 1,KENYA,EASTERN PROVINCE,MERU DISTRICT,,,
38472,,PYCNONOTIDAE,PYCNONOTUS,NIGRICANS,NIGRICANS,C SKEL - 1,BOTSWANA,,,,,
38473,,PYCNONOTIDAE,ANDROPADUS,MILANJENSIS,MILANJENSIS,C SKEL - 1,ZIMBABWE,,,,,
38474,,PYCNONOTIDAE,ANDROPADUS,MASUKUENSIS,KAKAMEGAE,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
38475,,PYCNONOTIDAE,ANDROPADUS,VIRENS,VIRENS,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
38476,,PYCNONOTIDAE,ANDROPADUS,CURVIROSTRIS,CURVIROSTRIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
38477,Red-whiskered Bulbul,PYCNONOTIDAE,PYCNONOTUS,JOCOSUS,,C SKEL - 1,USA,FLORIDA,MIAMI-DADE CO.,,,
38478,,PYCNONOTIDAE,PHYLLASTREPHUS,FLAVOSTRIATUS,FLAVOSTRIATUS,C SKEL - 1,ZIMBABWE,,,,,
38479,,PYCNONOTIDAE,PHYLLASTREPHUS,DEBILIS,,C SKEL - 1,TANZANIA,TANGA PROVINCE,,,,
38480,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
38481,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,CENTRAL PROVINCE,KIAMBU DISTRICT,,,
38482,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
38483,,PYCNONOTIDAE,CHLOROCICHLA,FLAVICOLLIS,,C SKEL - 1,ZAIRE,SHABA,,,,
38484,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
38485,,PYCNONOTIDAE,BLEDA,SYNDACTYLUS,WOOSNAMI,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
39288,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,OCCIDENTALIS,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
39904,Red-vented Bulbul,PYCNONOTIDAE,PYCNONOTUS,CAFER,,P SKEL - 1; STUDY - 1,AMERICAN SAMOA,TUTUILA ISLAND,,,,
39905,Red-vented Bulbul,PYCNONOTIDAE,PYCNONOTUS,CAFER,,C SKEL - 1,AMERICAN SAMOA,TUTUILA ISLAND,,,,
41305,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,,C SKEL - 1,SOUTH AFRICA,WESTERN CAPE PROVINCE,,-335846.0,232827.5,
41359,,PYCNONOTIDAE,ANDROPADUS,IMPORTUNUS,IMPORTUNUS,C SKEL - 1,SOUTH AFRICA,WESTERN CAPE PROVINCE,,-335853.0,233316.7,
41383,,PYCNONOTIDAE,ANDROPADUS,IMPORTUNUS,IMPORTUNUS,C SKEL - 1,SOUTH AFRICA,WESTERN CAPE PROVINCE,,-335853.0,233316.7,
41597,,PYCNONOTIDAE,PYCNONOTUS,NIGRICANS,NIGRICANS,C SKEL - 1,SOUTH AFRICA,NORTHERN CAPE PROVINCE,,-255056.5,225543.7,
42991,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,,P SKEL - 1; STUDY - 1,CAPTIVE BIRD,,,,,
44806,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
45310,,PYCNONOTIDAE,PYCNONOTUS,MELANICTERUS,DISPAR,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
45591,,PYCNONOTIDAE,PYCNONOTUS,SQUAMATUS,,C SKEL - 1; TISSUE - 2,CAPTIVE BIRD,,,,,
